,name,price,brand,country,category
89,#2259 Samsung Galaxy S9+ 128Gb Титан,42700,Samsung,South Korea,смартфон
90,#2379 GarmiH Fenix 5S Sapphire Rose Gold with White Band,38400,GarmiH,USA,умные часы
91,#2527 Samsung Galaxy S9+ 128Gb Burgundy Red,41490,Samsung,South Korea,смартфон
92,#2113 Google Pixel 2 128Gb Just Black,45700,Google,USA,смартфон
93,#2499 Samsung Galaxy Note 9 512GB Ocean Blue (Синий),59500,Samsung,South Korea,смартфон
94,#2112 Google Pixel 2 64Gb Just Black,33490,Google,USA,смартфон
95,#2490 Apple Watch Series 4 GPS 40mm Silver Aluminum Case with White Sport Band (MU642),27780,Apple,USA,умные часы
96,"#2384 Ноутбук Xiaomi Mi Notebook Air 12.5"" (Intel Core m3 7Y30 1000 MHz/12.5""/1920x1080/4Gb/128Gb SSD/DVD нет/Intel HD Graphics 615/Wi-Fi/Bluetooth/Windows 10 Home) Gold",39490,Xiaomi,China,ноутбук
97,#2326 Фитнес-браслет Xiaomi Mi Band 3 Черный,2190,Xiaomi,China,фитнес-браслет
98,#2619 Samsung Galaxy Note 9 128GB Snapdragon Black (Черный),44090,Samsung,South Korea,смартфон
99,#2421 Samsung Galaxy Note 9 128GB Lavender Purple (Розовый),43860,Samsung,South Korea,смартфон
100,#2464 Apple iPhone Xs 256GB Space Gray,84080,Apple,USA,смартфон
101,#2126 Huawei Mate 10 64Gb Black,32900,Huawei,China,смартфон
102,#2540 Фитнес-браслет Xiaomi Mi Band 2 Черный,1590,Xiaomi,China,фитнес-браслет
103,#2459 Samsung Galaxy Watch (42 mm) Black,15980,Samsung,South Korea,умные часы
104,"#2621 Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018 (Intel Core i7 8550U 1800 MHz/13.3""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home) Silver",61250,Xiaomi,China,ноутбук
105,#2662 Samsung Galaxy S9+ 64Gb Золото,36780,Samsung,South Korea,смартфон
106,#2646 Huawei Mate 20 6/128GB Black,38100,Huawei,China,смартфон
107,#2001 Наушники Beats X Wireless Gray,7200,Beats,USA,Bluetooth-наушники с микрофоном
108,#2627 Apple iPhone Xr 256GB Black,61490,Apple,USA,смартфон
109,#2414 Xiaomi Redmi Note 5 6/64Gb Black,15400,Xiaomi,China,смартфон
110,"#2756 Ноутбук Xiaomi Mi Notebook 15.6 Lite (Intel Core i7 8550U 1800 MHz/15.6""/1920x1080/8GB/1128GB HDD+SSD/DVD нет/NVIDIA GeForce MX110/Wi-Fi/Bluetooth/Windows 10 Home) Black",53590,Xiaomi,China,ноутбук
111,#2500 GarmiH Fenix 5X Plus Sapphire Black,49490,GarmiH,USA,умные часы
112,#2690 Samsung Galaxy S10e 6/128Gb Цитрус,42760,Samsung,South Korea,смартфон
113,#2172 Huawei Mate 10 Pro 6/128GB Dual Sim Blue (L29),43680,Huawei,China,смартфон
114,#2618 Samsung Galaxy Note 9 512Gb Snapdragon Lavender Purple (Розовый),59350,Samsung,South Korea,смартфон
115,#2110 Samsung Galaxy Note 8 128Gb Orchid Gray,42600,Samsung,South Korea,смартфон
116,#2234 Samsung Galaxy S9+ 256Gb Ультрафиолет,59500,Samsung,South Korea,смартфон
117,#2154 LG G6 64GB black,24720,LG,South Korea,смартфон
118,#2711 Samsung Galaxy Watch Active Черный Сатин,13030,Samsung,South Korea,умные часы
119,#2688 Samsung Galaxy S10e 6/128Gb Перламутр,41980,Samsung,South Korea,смартфон
120,#2636 Apple iPhone Xr 128GB Yellow,54450,Apple,USA,смартфон
121,"#2695 Ноутбук Xiaomi Mi Notebook Pro 15.6 GTX (Intel Core i7 8550U 1800 MHz/15.6""/1920x1080/16GB/256GB SSD/DVD нет/NVIDIA GeForce GTX 1050/Wi-Fi/Bluetooth/Windows 10 Home)",82950,Xiaomi,China,ноутбук
122,#2712 Samsung Galaxy Watch Active Серебристый Лёд,13110,Samsung,South Korea,умные часы
123,#2210 Samsung Galaxy S9 64Gb Ультрафиолет,32550,Samsung,South Korea,смартфон
124,#2660 Наушники Xiaomi AirDots Pro,6540,Xiaomi,China,Bluetooth-наушники с микрофоном
125,#2714 Samsung Galaxy Watch Active Морская Глубина,13100,Samsung,South Korea,умные часы
126,#2130 Huawei Mate 10 64Gb Brown,32300,Huawei,China,смартфон
127,#2320 Xiaomi Mi8 6/128GB Black,24330,Xiaomi,China,смартфон
128,#2663 Беспроводные наушники Huawei Honor FlyPods Red,7990,Huawei,China,Bluetooth-наушники с микрофоном
129,"#2447 Ноутбук Xiaomi Mi Notebook Pro 15.6 (Intel Core i7 8550U 1800 MHz/15.6""/1920x1080/8Gb/256Gb SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home)",66250,Xiaomi,China,ноутбук
130,#2071 Samsung Galaxy Note 8 64Gb Maple Gold,32250,Samsung,South Korea,смартфон
131,#2283 OnePlus 6 6/64GB Mirror Black (черный глянцевый),31190,OnePlus,China,смартфон
132,#2127 Google Pixel 2 XL 64GB Black,45610,Google,USA,смартфон
133,#2465 Apple iPhone Xs Max 64GB Dual SIM Space Gray,88200,Apple,USA,смартфон
134,#1931 Samsung Galaxy S8+ 64Gb SM-G955FD Midnight Black (Черный бриллиант),29800,Samsung,South Korea,смартфон
135,#2704 Samsung Galaxy Buds Желтые,10990,Samsung,South Korea,Bluetooth-наушники с микрофоном
136,#2472 Apple iPhone Xs Max 256GB Dual SIM Gold,91800,Apple,USA,смартфон
137,#2482 Apple iPhone Xs 64GB Silver,73250,Apple,USA,смартфон
138,#2325 GarmiH Forerunner 935 Black,28200,GarmiH,USA,умные часы
139,#2267 Xiaomi Redmi Note 5 4/64Gb Gold,11840,Xiaomi,China,смартфон
140,#2417 Samsung Galaxy Note 9 128GB Black (Черный),43090,Samsung,South Korea,смартфон
141,#2111 Samsung Galaxy Note 8 256Gb Coral Blue,53550,Samsung,South Korea,смартфон
142,"#2650 Ноутбук Xiaomi Mi Notebook 15.6 Lite (Intel Core i5 8250U 1600 MHz/15.6""/1920x1080/8GB/1128GB HDD+SSD/DVD нет/NVIDIA GeForce MX110/Wi-Fi/Bluetooth/Windows 10 Home) Black",46550,Xiaomi,China,ноутбук
143,#2173 Наушники Samsung Gear IconX (2018) Black,8990,Samsung,South Korea,Bluetooth-наушники с микрофоном
144,"#2723 Xiaomi Mi Gaming Laptop Enhanced Edition (Intel Core i5 8300H 2300 MHz/15.6""/1920x1080/8GB/1256GB HDD+SSD/NVIDIA GeForce GTX 1060/Wi-Fi/Bluetooth/Windows 10 Home)",74300,Xiaomi,China,ноутбук
145,"#2370 Ноутбук Xiaomi Mi Notebook Pro 15.6 (Intel Core i7 8550U 1800 MHz/15.6""/1920x1080/16Gb/256Gb SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home)",70450,Xiaomi,China,ноутбук
146,#2248 Huawei P20 Pro 128Gb Blue,51990,Huawei,China,смартфон
147,#2463 Apple Watch Series 4 GPS 44mm Silver Aluminum Case with White Sport Band,27740,Apple,USA,умные часы
148,#2664 Беспроводные наушники Huawei Honor FlyPods Blue,7990,Huawei,China,Bluetooth-наушники с микрофоном
149,#2318 LG G7 ThinQ 64Gb Black,28770,LG,South Korea,смартфон
150,"#2526 Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018 (Intel Core i7 8550U 1800 MHz/13.3""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home) Gray",60580,Xiaomi,China,ноутбук
151,#2640 Беспроводные наушники Huawei Honor FlyPods White,7970,Huawei,China,Bluetooth-наушники с микрофоном
152,#2109 Samsung Galaxy Note 8 128Gb Coral Blue,45400,Samsung,South Korea,смартфон
